State,CityName,UniqueID,CityFIPS,TractFIPS,ObesityScore,Lat,Lon,WalkScore
TX,League City,4841980-48167720501,4841980,48167720501,27.6,29.49959231,-95.14052108,37
TX,Missouri City,4848804-48157671200,4848804,48157671200,36.6,29.60304344,-95.53354281,29
TX,Missouri City,4848804-48157670800,4848804,48157670800,38.7,29.53063878,-95.4996636,10
TX,Missouri City,4848804-48157671100,4848804,48157671100,35.1,29.58985417,-95.54632106,12
TX,Missouri City,4848804-48157670700,4848804,48157670700,32.9,29.56893132,-95.51639788,3
TX,Missouri City,4848804-48157674501,4848804,48157674501,26.4,29.52673209,-95.52430056,2
TX,Missouri City,4848804-48157671501,4848804,48157671501,22.6,29.59416229,-95.5729713,3
TX,Missouri City,4848804-48157674502,4848804,48157674502,27.9,29.49819509,-95.54668728,7
TX,Missouri City,4848804-48157671002,4848804,48157671002,32.8,29.57328255,-95.5325607,16
TX,Missouri City,4848804-48201423600,4848804,48201423600,36.3,29.63495658,-95.51698735,21
TX,Missouri City,4848804-48157671502,4848804,48157671502,23,29.5771615,-95.57082608,25
TX,Missouri City,4848804-48157671300,4848804,48157671300,36.3,29.61432917,-95.54276529,23
TX,Missouri City,4848804-48157671001,4848804,48157671001,27.1,29.57232803,-95.55197179,10
TX,Missouri City,4848804-48201440100,4848804,48201440100,38.7,29.63263592,-95.52990972,12
TX,Missouri City,4848804-48157671800,4848804,48157671800,31.9,29.62457487,-95.53760341,3
TX,Missouri City,4848804-48157670500,4848804,48157670500,38.2,29.61192097,-95.52121663,19
TX,Missouri City,4848804-48157670901,4848804,48157670901,26.7,29.55139749,-95.52612524,2
TX,Missouri City,4848804-48157670601,4848804,48157670601,38.6,29.5929617,-95.51854089,21
TX,Missouri City,4848804-48157674300,4848804,48157674300,20.9,29.56284595,-95.57148795,48
TX,Austin,4805000-48453001718,4805000,48453001718,18.7,30.34830387,-97.76102478,40
TX,Carrollton,4813024-48121021611,4813024,48121021611,27.1,32.99381267,-96.89919968,30
TX,Dallas,4819000-48113020500,4819000,48113020500,44.2,32.78273181,-96.86502853,35
TX,College Station,4815976-48041002008,4815976,48041002008,23.6,30.55322726,-96.28005144,9
TX,Houston,4835000-48201232900,4835000,48201232900,36.2,29.80067209,-95.18864922,48
TX,Denton,4819972-48121021405,4819972,48121021405,29.7,33.19905787,-97.06830996,0
TX,Richardson,4861796-48113019024,4861796,48113019024,25.7,32.93831437,-96.69135855,61
TX,Amarillo,4803000-48381020500,4803000,48381020500,33.1,35.1745288,-101.8435693,42
TX,Houston,4835000-48201453000,4835000,48201453000,34.9,29.69612039,-95.5792367,41
TX,Dallas,4819000-48085031715,4819000,48085031715,23,33.00735403,-96.80821461,14
TX,McKinney,4845744-48085030513,4845744,48085030513,24.5,33.14469541,-96.70863376,21
TX,Mission,4848768-48215024110,4848768,48215024110,38.3,26.25347587,-98.34457273,23
TX,Houston,4835000-48201324200,4835000,48201324200,40.3,29.71491978,-95.24970283,3
TX,Houston,4835000-48201420400,4835000,48201420400,25.8,29.65769634,-95.45598321,28
TX,Dallas,4819000-48113016701,4819000,48113016701,43.8,32.6582441,-96.77048449,14
TX,Garland,4829000-48113018300,4829000,48113018300,35.9,32.88593592,-96.6430608,31
TX,Irving,4837000-48113014114,4837000,48113014114,34.6,32.86125002,-96.99415228,62
TX,Fort Worth,4827000-48439113920,4827000,48439113920,26.9,32.88564906,-97.26620468,37
TX,Fort Worth,4827000-48439106511,4827000,48439106511,38,32.76957644,-97.19184082,14
TX,Brownsville,4810768-48061013308,4810768,48061013308,41.4,25.88613158,-97.44649096,16
TX,Abilene,4801000-48441013000,4801000,48441013000,21.4,32.42320773,-99.84170312,36
TX,Dallas,4819000-48113001002,4819000,48113001002,27.2,32.81556286,-96.77546032,72
TX,Waco,4876000-48309001800,4876000,48309001800,32.8,31.56402804,-97.08466987,1
TX,Fort Worth,4827000-48439105201,4827000,48439105201,40.3,32.730992,-97.45852425,37
TX,San Antonio,4865000-48029192200,4865000,48029192200,31.5,29.33898808,-98.45731717,10
TX,Brownsville,4810768-48061013207,4810768,48061013207,43,25.9264081,-97.41948842,12
TX,Dallas,4819000-48113009103,4819000,48113009103,38.6,32.74063595,-96.70441568,35
TX,Dallas,4819000-48113009101,4819000,48113009101,38.7,32.75648514,-96.69434058,16
TX,Austin,4805000-48453001834,4805000,48453001834,23,30.35300977,-97.66265709,4
TX,Abilene,4801000-48441010500,4801000,48441010500,35.1,32.47446032,-99.76685447,26
TX,San Angelo,4864472-48451001704,4864472,48451001704,25.1,31.40697402,-100.5100077,3
TX,San Antonio,4865000-48029161304,4865000,48029161304,41.3,29.34937526,-98.59222459,6
TX,Houston,4835000-48201321800,4835000,48201321800,37.7,29.68787615,-95.23872794,46
TX,Beaumont,4807000-48245001700,4807000,48245001700,44.6,30.07016516,-94.08707259,30
TX,Austin,4805000-48453001769,4805000,48453001769,22.1,30.24207465,-97.89850899,3
TX,Pasadena,4856000-48201323600,4856000,48201323600,31,29.64678972,-95.19089522,38
TX,Houston,4835000-48201451100,4835000,48201451100,28.1,29.75638448,-95.58083433,30
TX,Laredo,4841464-48479001202,4841464,48479001202,44.4,27.51983703,-99.49782993,58
TX,El Paso,4824000-48141002000,4824000,48141002000,46.1,31.75781501,-106.471397,62
TX,Killeen,4839148-48027022600,4839148,48027022600,36.2,31.12157583,-97.71751488,72
TX,Corpus Christi,4817000-48355002102,4817000,48355002102,31.9,27.75566738,-97.3825349,56
TX,Abilene,4801000-48441011700,4801000,48441011700,37.6,32.44620791,-99.74151832,65
TX,El Paso,4824000-48141003502,4824000,48141003502,41.2,31.73447497,-106.3590969,60
TX,Waco,4876000-48309002503,4876000,48309002503,21.8,31.51987156,-97.21746914,17
TX,Houston,4835000-48201431000,4835000,48201431000,23,29.7474789,-95.54928908,26
TX,Midland,4848072-48329001500,4848072,48329001500,42.7,31.99030684,-102.0574529,36
TX,Laredo,4841464-48479001719,4841464,48479001719,37.1,27.55144656,-99.48570924,44
TX,El Paso,4824000-48141004316,4824000,48141004316,32.6,31.74109949,-106.2963527,70
TX,Dallas,4819000-48113009604,4819000,48113009604,28,32.9183955,-96.81070718,43
TX,Plano,4858016-48085031621,4858016,48085031621,24.8,33.01850745,-96.78067025,25
TX,Richardson,4861796-48085032011,4861796,48085032011,21.7,32.99724564,-96.64394049,38
TX,Austin,4805000-48453001917,4805000,48453001917,18.8,30.26523252,-97.81925991,8
TX,Houston,4835000-48201541700,4835000,48201541700,28.4,29.80442992,-95.66360381,0
TX,Odessa,4853388-48135001300,4853388,48135001300,33.1,31.85855433,-102.386337,57
TX,Frisco,4827684-48085030518,4827684,48085030518,24.1,33.16355701,-96.76808336,5
TX,Dallas,4819000-48113013004,4819000,48113013004,23.3,32.86992762,-96.72141766,30
TX,San Antonio,4865000-48029181712,4865000,48029181712,28.8,29.49299971,-98.65960906,27
TX,Austin,4805000-48453002106,4805000,48453002106,27.9,30.30673127,-97.69030365,57
TX,Brownsville,4810768-48061014400,4810768,48061014400,35.9,25.99598826,-97.48982924,1
TX,Mission,4848768-48215020403,4848768,48215020403,40.7,26.20680429,-98.31903885,64
TX,Fort Worth,4827000-48439111301,4827000,48439111301,29.5,32.58062016,-97.23719561,33
TX,Houston,4835000-48201222502,4835000,48201222502,36.8,29.92500514,-95.39537719,20
TX,Abilene,4801000-48441012000,4801000,48441012000,25.4,32.42107436,-99.71139875,2
TX,Houston,4835000-48201420300,4835000,48201420300,24.8,29.67152875,-95.45420192,48
TX,Corpus Christi,4817000-48355001702,4817000,48355001702,42.2,27.73800017,-97.46240267,0
