State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon
TX,San Antonio,4865000-48029160702,4865000,48029160702,38.2,29.39626062,-98.5569473
TX,Houston,4835000-48201533701,4835000,48201533701,39.1,29.92791073,-95.4161313
TX,Lubbock,4845000-48303001708,4845000,48303001708,28.9,33.54322514,-101.9284216
TX,Waco,4876000-48309002100,4876000,48309002100,39,31.5142528,-97.12455801
TX,Edinburg,4822660-48215023503,4822660,48215023503,39.2,26.36591197,-98.15460359
TX,Corpus Christi,4817000-48355001400,4817000,48355001400,32.4,27.76703458,-97.39492669
TX,El Paso,4824000-48141002800,4824000,48141002800,46.2,31.77086724,-106.4604157
TX,Houston,4835000-48201331400,4835000,48201331400,51.1,29.65263946,-95.36241496
TX,Houston,4835000-48201222700,4835000,48201222700,45.4,29.9358964,-95.33108856
TX,Abilene,4801000-48253020500,4801000,48253020500,,32.61042342,-99.69612301
TX,Austin,4805000-48453001750,4805000,48453001750,22.4,30.21986333,-97.8221973
TX,San Antonio,4865000-48029121118,4865000,48029121118,27.2,29.59597914,-98.44642019
TX,Houston,4835000-48201340301,4835000,48201340301,21.7,29.59149464,-95.12647509
TX,Dallas,4819000-48113003800,4819000,48113003800,48,32.75760314,-96.75599426
TX,El Paso,4824000-48141010220,4824000,48141010220,,31.94401331,-106.534086
TX,San Antonio,4865000-48029180503,4865000,48029180503,34.9,29.46028519,-98.59265056
TX,Brownsville,4810768-48061013600,4810768,48061013600,41.2,25.92002766,-97.51624692
TX,Richardson,4861796-48085031802,4861796,48085031802,23.9,33.00086448,-96.71915606
TX,Pasadena,4856000-48201324100,4856000,48201324100,38.9,29.72036247,-95.18786787
TX,Houston,4835000-48201311300,4835000,48201311300,36.6,29.70972141,-95.29452901
TX,Austin,4805000-48491020405,4805000,48491020405,31.2,30.44825563,-97.79428965
TX,Austin,4805000-48491020408,4805000,48491020408,32.1,30.4608132,-97.78711469
