StateAbbr,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Population2010,Lat,Lon
OK,Lawton,4041850-40031001000,4041850,40031001000,35.3,2074,34.6124165020,-98.4134280062
CA,San Leandro,0668084-06001409300,668084,6001409300,,9,37.7373599456,-122.1664483880
MI,Lansing,2646000-26065003601,2646000,26065003601,39.7,3795,42.6903614176,-84.5971039825
NY,New York,3651000-36061007100,3651000,36061007100,15.4,5429,40.7354476894,-73.9999138642
NY,New York,3651000-36061004100,3651000,36061004100,13.1,7817,40.7191610536,-73.9966953933
NY,New York,3651000-36081062400,3651000,36081062400,,1,40.6857946755,-73.7420336747
KS,Lawrence,2038900-20045000901,2038900,20045000901,26.7,5768,38.9424295442,-95.2513096302
CO,Colorado Springs,0816000-08041002800,816000,8041002800,25.9,5283,38.8139444319,-104.7963328790
NY,New York,3651000-36061017100,3651000,36061017100,17.3,8989,40.7890629645,-73.9824730343
MI,Westland,2686000-26163568900,2686000,26163568900,28.4,2796,42.3293071982,-83.3996383758
CO,Aurora,0804000-08005082100,804000,8005082100,27.5,6750,39.7020373629,-104.8008257110
CO,Denver,0820000-08031008304,820000,8031008304,26.8,3637,39.7938652936,-104.8415697440
OH,Columbus,3918000-39049001121,3918000,39049001121,26.6,7300,40.0004647236,-83.0123189372
TX,San Antonio,4865000-48029181602,4865000,48029181602,36,5575,29.4579251522,-98.6140372685
AZ,Phoenix,0455000-04013611700,455000,4013611700,25.1,6304,33.7052046049,-112.1775400580
CO,Denver,0820000-08031000102,820000,8031000102,17.1,3109,39.7802682148,-105.0395317050
NY,New York,3651000-36081115700,3651000,36081115700,17,3388,40.7675760624,-73.8151694412
CA,Oceanside,0653322-06073019904,653322,6073019904,12.9,80,33.1716256781,-117.2509563390
AL,Birmingham,0107000-01073002306,107000,1073002306,25.5,3257,33.5213873564,-86.7490031289
FL,Clearwater,1212875-12103026601,1212875,12103026601,24.6,2519,27.9558543120,-82.7553189263
OH,Cleveland,3916000-39035106200,3916000,39035106200,33.1,3663,41.4361448002,-81.7241978856
CA,Merced,0646898-06047001602,646898,6047001602,31.5,6336,37.2802878700,-120.4873749450
NJ,Trenton,3474000-34021001500,3474000,34021001500,42.9,2798,40.2273944506,-74.7691025875
OH,Toledo,3977000-39095006500,3977000,39095006500,33.1,2279,41.6817547479,-83.6151771541
CA,Santa Rosa,0670098-06097152100,670098,6097152100,23.3,3004,38.4592271152,-122.7228512890
WA,Renton,5357745-53033029303,5357745,53033029303,22,7517,47.4368848604,-122.2012678200
WA,Federal Way,5323515-53033030308,5323515,53033030308,24.8,6266,47.3083170320,-122.3520247420
NY,New York,3651000-36085013204,3651000,36085013204,27.2,4843,40.5594209197,-74.1302415981
WA,Seattle,5363000-53033012100,5363000,53033012100,22.1,2681,47.5067829001,-122.3869998790
CO,Aurora,0804000-08005082000,804000,8005082000,26.2,3797,39.7165011071,-104.8003692200
CA,Compton,0615044-06037543000,615044,6037543000,32.2,3057,33.8909277218,-118.2555799810
MI,Detroit,2622000-26163526000,2622000,26163526000,41.1,2984,42.3259356390,-83.1429718619
OK,Broken Arrow,4009050-40143007519,4009050,40143007519,26.7,2938,36.0391596134,-95.8242467238
TX,Dallas,4819000-48085031717,4819000,48085031717,25.6,2067,33.0061883837,-96.7989938209
LA,New Orleans,2255000-22071002504,2255000,22071002504,35.3,2162,30.0081072358,-90.0498773600
CA,Los Angeles,0644000-06037239201,644000,6037239201,39.2,3562,33.9857804927,-118.2771698930
PA,Philadelphia,4260000-42101030100,4260000,42101030100,38,5869,40.0204947731,-75.0885046718
CA,Lancaster,0640130-06037900606,640130,6037900606,34,3721,34.7004760275,-118.1244375950
CA,Los Angeles,0644000-06037185204,644000,6037185204,21.9,2091,34.1029039691,-118.2232599600
MI,Detroit,2622000-26163532200,2622000,26163532200,47.5,1696,42.3884006575,-83.0939520039
CA,Los Angeles,0644000-06037106010,644000,6037106010,27.1,3152,34.3253360674,-118.4434109060
NC,Greensboro,3728000-37081010404,3728000,37081010404,23.3,2502,36.0996392768,-79.7993260687
WI,Milwaukee,5553000-55079006400,5553000,55079006400,50.7,2510,43.0742179632,-87.9423479209
CA,Oakland,0653000-06001400800,653000,6001400800,23.5,3594,37.8454493118,-122.2833803170
TX,Austin,4805000-48453001768,4805000,48453001768,,1,30.2647464659,-97.9111742179
CA,San Francisco,0667000-06075061200,667000,6075061200,27.7,4089,37.7370414104,-122.3901776730
NC,Winston-Salem,3775000-37067003805,3775000,37067003805,34.5,5573,36.0643160126,-80.3226932748
MI,Grand Rapids,2634000-26081003000,2634000,26081003000,36.8,1450,42.9520482244,-85.6529523785
IL,Bloomington,1706613-17113001200,1706613,17113001200,29.2,2518,40.4935088046,-88.9643799846
FL,Fort Lauderdale,1224000-12011042301,1224000,12011042301,22.9,3929,26.1069586974,-80.1275038094
NC,Greensboro,3728000-37081015600,3728000,37081015600,,1,36.1909973664,-79.7508893589
AL,Huntsville,0137000-01089000302,137000,1089000302,40.7,3650,34.7823282055,-86.6077359957
IL,Arlington Heights,1702154-17031803500,1702154,17031803500,21.3,5686,42.0740387968,-87.9937403115
IL,Chicago,1714000-17031340300,1714000,17031340300,18.7,1786,41.8428085569,-87.6357910021
CT,Waterbury,0980000-09009351000,980000,9009351000,35.8,3678,41.5748018171,-73.0347060162
NV,Las Vegas,3240000-32003001200,3240000,32003001200,33.6,4146,36.1499179603,-115.1465290050
WI,Milwaukee,5553000-55079019500,5553000,55079019500,30.5,3350,42.9773321453,-88.0277218807
CA,San Bernardino,0665000-06071004404,665000,6071004404,33.8,5570,34.1014098837,-117.3419746190
WA,Seattle,5363000-53033004100,5363000,53033004100,20.1,7789,47.6601116395,-122.2626707830
