,State,CityName,UniqueID,CityFIPS,TractFIPS,Data_Value,Lat,Lon,Walk Score
1204,TX,Fort Worth,4827000-48439100300,4827000,48439100300,43.6,32.81387683,-97.36290363,4
1205,TX,Dallas,4819000-48113013622,4819000,48113013622,24.2,32.94862721,-96.80794195,59
1206,TX,San Antonio,4865000-48029150502,4865000,48029150502,36.8,29.37176136,-98.52547635,56
1207,TX,Austin,4805000-48453002112,4805000,48453002112,34.6,30.31393332,-97.68259671,52
1208,TX,Dallas,4819000-48113009804,4819000,48113009804,40.5,32.87111558,-96.87014401,36
1209,TX,Frisco,4827684-48085030507,4827684,48085030507,23.3,33.11179965,-96.77985204,10
1210,TX,Beaumont,4807000-48245000103,4807000,48245000103,45.4,30.14606476,-94.13072982,3
1212,TX,Houston,4835000-48201313700,4835000,48201313700,42.9,29.69750059,-95.36646106,61
1213,TX,Dallas,4819000-48113002000,4819000,48113002000,35.4,32.75921988,-96.81648478,63
1214,TX,Fort Worth,4827000-48439106102,4827000,48439106102,45.0,32.67660272,-97.25103787,22
1215,TX,Dallas,4819000-48113001503,4819000,48113001503,41.1,32.80291102,-96.7769552,70
1216,TX,Corpus Christi,4817000-48355002101,4817000,48355002101,40.2,27.75041619,-97.39043917,65
1217,TX,El Paso,4824000-48141003402,4824000,48141003402,38.7,31.78897699,-106.3966929,76
1218,TX,Bryan,4810912-48041000603,4810912,48041000603,40.0,30.66761396,-96.38876775,20
1219,TX,Houston,4835000-48201340500,4835000,48201340500,29.4,29.56708457,-95.12058504,34
1220,TX,Baytown,4806128-48201254300,4806128,48201254300,37.0,29.74229974,-94.9733315,64
1221,TX,Frisco,4827684-48121021524,4827684,48121021524,22.9,33.11165377,-96.86005715,17
1222,TX,Houston,4835000-48201453401,4835000,48201453401,31.4,29.65464826,-95.57640502,57
1223,TX,Dallas,4819000-48113001203,4819000,48113001203,31.3,32.80262423,-96.74407859,47
1224,TX,Dallas,4819000-48113010601,4819000,48113010601,39.1,32.78769862,-96.89838159,36
1225,TX,McKinney,4845744-48085030531,4845744,48085030531,24.8,33.18494252,-96.70546965,5
1226,TX,Lewisville,4842508-48121021716,4842508,48121021716,28.2,33.05251934,-97.01885245,43
1227,TX,Fort Worth,4827000-48439102401,4827000,48439102401,30.2,32.72260769,-97.41827351,71
1228,TX,Lubbock,4845000-48303001903,4845000,48303001903,27.0,33.5389583,-101.8966233,39
1229,TX,Arlington,4804000-48439121905,4804000,48439121905,38.1,32.70960913,-97.0720855,78
1230,TX,Irving,4837000-48113014136,4837000,48113014136,22.9,32.90165993,-96.97345604,26
1231,TX,Houston,4835000-48201433202,4835000,48201433202,30.6,29.69680434,-95.54124817,47
1232,TX,Fort Worth,4827000-48439106201,4827000,48439106201,48.3,32.70800777,-97.25866263,54
1233,TX,Longview,4843888-48183010301,4843888,48183010301,34.4,32.55080477,-94.82053178,0
1234,TX,Austin,4805000-48453001745,4805000,48453001745,23.4,30.42439153,-97.73801848,25
1235,TX,Baytown,4806128-48201254700,4806128,48201254700,30.7,29.70902697,-94.95073694,0
1236,TX,College Station,4815976-48041001605,4815976,48041001605,26.5,30.59768855,-96.32568621,45
1238,TX,San Antonio,4865000-48029151000,4865000,48029151000,39.3,29.36252714,-98.51024281,50
1239,TX,Dallas,4819000-48113010602,4819000,48113010602,40.0,32.7722449,-96.91525442,18
1240,TX,Abilene,4801000-48441010100,4801000,48441010100,25.1,32.46984924,-99.70404716,35
1241,TX,Houston,4835000-48201522000,4835000,48201522000,33.2,29.82731382,-95.53558951,24
1242,TX,McAllen,4845384-48215020724,4845384,48215020724,34.1,26.21466522,-98.26506011,38
1243,TX,Houston,4835000-48201552002,4835000,48201552002,27.2,29.9141624,-95.61088746,46
1244,TX,San Antonio,4865000-48029151700,4865000,48029151700,35.4,29.329456,-98.50062919,35
1245,TX,Houston,4835000-48201411200,4835000,48201411200,22.1,29.75308559,-95.43118038,18
1246,TX,Grand Prairie,4830464-48113016523,4830464,48113016523,29.1,32.56406247,-97.02513213,3
1247,TX,Austin,4805000-48453001755,4805000,48453001755,17.7,30.40917968,-97.77848339,10
1248,TX,Houston,4835000-48201411300,4835000,48201411300,23.7,29.74908376,-95.45262138,65
1249,TX,Richardson,4861796-48113019100,4861796,48113019100,25.6,32.94867227,-96.72611084,78
1250,TX,San Antonio,4865000-48029181720,4865000,48029181720,26.0,29.53941994,-98.66337591,25
1251,TX,El Paso,4824000-48141004318,4824000,48141004318,30.1,31.76382036,-106.3477288,58
1252,TX,Houston,4835000-48201420500,4835000,48201420500,40.2,29.6500083,-95.47279105,18
1253,TX,Bryan,4810912-48041000800,4810912,48041000800,27.4,30.65950413,-96.3558136,41
1254,TX,Corpus Christi,4817000-48355002001,4817000,48355002001,42.4,27.75759627,-97.40522908,66
1255,TX,San Antonio,4865000-48029130500,4865000,48029130500,45.3,29.41922256,-98.45216751,69
1256,TX,Dallas,4819000-48113013200,4819000,48113013200,21.9,32.91733781,-96.78559262,23
1257,TX,Lubbock,4845000-48303000201,4845000,48303000201,36.7,33.62351315,-101.8721696,11
1258,TX,Arlington,4804000-48439111409,4804000,48439111409,26.7,32.63594028,-97.15439295,2
1260,TX,Dallas,4819000-48113000606,4819000,48113000606,22.8,32.81597749,-96.80101931,91
1261,TX,Plano,4858016-48085032010,4858016,48085032010,31.4,33.01569425,-96.6526529,52
1262,TX,Irving,4837000-48113014302,4837000,48113014302,31.1,32.8447801,-96.96898951,52
1263,TX,Corpus Christi,4817000-48355000800,4817000,48355000800,42.3,27.76990183,-97.47671956,1
1264,TX,Fort Worth,4827000-48439102601,4827000,48439102601,36.1,32.72819192,-97.39657573,56
1265,TX,Baytown,4806128-48201254200,4806128,48201254200,34.2,29.72871817,-94.96450797,69
1266,TX,Fort Worth,4827000-48439111012,4827000,48439111012,33.3,32.62473076,-97.36227774,20
1267,TX,San Antonio,4865000-48029131606,4865000,48029131606,30.9,29.47862558,-98.2998128,4
1268,TX,Denton,4819972-48121020205,4819972,48121020205,27.3,33.31662882,-97.08135242,1
1269,TX,Dallas,4819000-48113012702,4819000,48113012702,36.7,32.83974184,-96.67611717,61
1270,TX,San Antonio,4865000-48029160100,4865000,48029160100,42.4,29.40847611,-98.5212324,51
1271,TX,Dallas,4819000-48113000202,4819000,48113000202,22.7,32.83188172,-96.76573318,60
1272,TX,McKinney,4845744-48085030301,4845744,48085030301,25.7,33.24009874,-96.70660214,1
1273,TX,San Antonio,4865000-48029181200,4865000,48029181200,25.6,29.53679696,-98.53921713,9
1274,TX,Lewisville,4842508-48121021744,4842508,48121021744,35.3,33.03969827,-97.01190911,64
1275,TX,Fort Worth,4827000-48439106002,4827000,48439106002,44.4,32.64869568,-97.30421239,3
1276,TX,Dallas,4819000-48113009105,4819000,48113009105,37.7,32.73830227,-96.69110753,62
1277,TX,Laredo,4841464-48479001721,4841464,48479001721,31.6,27.57940688,-99.47738204,55
1278,TX,Houston,4835000-48201432901,4835000,48201432901,37.8,29.71625234,-95.52792148,50
1279,TX,El Paso,4824000-48141010342,4824000,48141010342,32.5,31.71966429,-106.2657592,19
1280,TX,Laredo,4841464-48479001713,4841464,48479001713,31.1,27.60699913,-99.46235802,48
1281,TX,Irving,4837000-48113015204,4837000,48113015204,30.0,32.79233792,-96.96817646,1
1282,TX,San Antonio,4865000-48029181723,4865000,48029181723,32.0,29.52121914,-98.67842046,31
1283,TX,Houston,4835000-48201422301,4835000,48201422301,43.0,29.64968322,-95.50455302,30
1284,TX,Houston,4835000-48201452100,4835000,48201452100,27.2,29.72630102,-95.58212455,29
1285,TX,Arlington,4804000-48439111547,4804000,48439111547,33.0,32.63522932,-97.08375026,11
1286,TX,McKinney,4845744-48085030515,4845744,48085030515,26.8,33.16675065,-96.6892248,32
1287,TX,Houston,4835000-48201454700,4835000,48201454700,27.5,29.77056187,-95.71856668,44
1288,TX,Abilene,4801000-48441012600,4801000,48441012600,26.9,32.42381066,-99.7751878,23
1289,TX,El Paso,4824000-48141001201,4824000,48141001201,39.3,31.85191634,-106.5787399,48
1290,TX,Dallas,4819000-48113005902,4819000,48113005902,44.0,32.69626178,-96.81869489,26
1291,TX,San Antonio,4865000-48029182001,4865000,48029182001,24.8,29.56982841,-98.65768242,32
1292,TX,Beaumont,4807000-48245001100,4807000,48245001100,36.4,30.0905931,-94.1251022,52
1293,TX,Dallas,4819000-48113009500,4819000,48113009500,23.7,32.88771251,-96.84734569,27
1294,TX,McAllen,4845384-48215024105,4845384,48215024105,42.5,26.28398047,-98.25628618,2
1295,TX,Midland,4848072-48329010104,4848072,48329010104,27.9,32.03882289,-102.1582371,16
1296,TX,San Antonio,4865000-48029192300,4865000,48029192300,24.4,29.56194405,-98.49614261,33
1297,TX,Houston,4835000-48201340800,4835000,48201340800,23.2,29.58149304,-95.14381875,35
1298,TX,San Antonio,4865000-48029152100,4865000,48029152100,37.8,29.2533478,-98.52755942,1
1299,TX,San Antonio,4865000-48029182002,4865000,48029182002,24.9,29.59581847,-98.6643918,1
1300,TX,Houston,4835000-48201422800,4835000,48201422800,29.8,29.69002866,-95.51778895,48
1301,TX,Lubbock,4845000-48303001804,4845000,48303001804,26.9,33.52628244,-101.9144358,40
1302,TX,Corpus Christi,4817000-48355003700,4817000,48355003700,34.1,27.86722378,-97.61685174,3
1303,TX,Austin,4805000-48453001785,4805000,48453001785,19.8,30.44419142,-97.73495797,30
1304,TX,Houston,4835000-48201421402,4835000,48201421402,45.6,29.7145907,-95.4868557,56
1305,TX,Dallas,4819000-48113012302,4819000,48113012302,42.0,32.80830318,-96.67602233,40
1306,TX,Plano,4858016-48085031664,4858016,48085031664,20.9,33.07507419,-96.78159699,36
1307,TX,Fort Worth,4827000-48439102302,4827000,48439102302,36.5,32.70474124,-97.44630343,59
1308,TX,Fort Worth,4827000-48439113918,4827000,48439113918,28.6,32.87051194,-97.28546596,69
1309,TX,Allen,4801924-48085031408,4801924,48085031408,26.5,33.09288114,-96.62433981,32
